mutation,mean_RR,std_error,delta_vs_WT,p_value_vs_WT,significant
PIK3CA_H1047R,3.200310079544145,0.1306429302685527,1.4579610767616844,1.225465693469268e-08,True
WT,1.7423490027824606,0.017192528177630013,0.0,,False
PIK3CA_E545K,1.7071095805294858,0.03188452401953674,-0.03523942225297483,0.7341158072389882,False
AKT1_E17K,1.581421138620283,0.07193214884648376,-0.16092786416217764,0.013845866247054696,True
PTEN_del,1.5566327650128646,0.021623907465426993,-0.185716237769596,1.4642337089636465e-06,True
